Nouns;Category
sloping;BEHAVIOUR
slope;BEHAVIOUR
nature;BEHAVIOUR
pace;BEHAVIOUR
variation;BEHAVIOUR
pattern;BEHAVIOUR
trend;BEHAVIOUR
increase;BEHAVIOUR
rate;BEHAVIOUR
rise;BEHAVIOUR
incline;BEHAVIOUR
decline;BEHAVIOUR
decrease;BEHAVIOUR
growth;BEHAVIOUR
reduction;BEHAVIOUR
upwards;BEHAVIOUR
dot;GRAPHIC
line;GRAPHIC
point;GRAPHIC
graph;GRAPHIC
look;GRAPHIC
patch;GRAPHIC
plot;GRAPHIC
space;GRAPHIC
spot;GRAPHIC
aspect;GRAPHIC
chart;GRAPHIC
cross;GRAPHIC
curve;GRAPHIC
diagonal;GRAPHIC
fashion;GRAPHIC
path;GRAPHIC
projection;GRAPHIC
data;INFERENCES
result;INFERENCES
confidence;INFERENCES
difference;INFERENCES
bloom;INFERENCES
cigarette;INFERENCES
cut;INFERENCES
enforcement;INFERENCES
exception;INFERENCES
function;INFERENCES
ground;INFERENCES
impact;INFERENCES
information;INFERENCES
item;INFERENCES
likelihood;INFERENCES
majority;INFERENCES
meal;INFERENCES
meaning;INFERENCES
panic;INFERENCES
significance;INFERENCES
source;INFERENCES
number;INFERENCES
bit;NONE
differential;NONE
distance;NONE
example;NONE
fall;NONE
image;NONE
kind;NONE
nothing;NONE
occurrence;NONE
place;NONE
r;NONE
reaction;NONE
status;NONE
suggestion;NONE
uniform;NONE
usage;NONE
variability;NONE
vice;NONE
corner;POSITION
left;POSITION
right;POSITION
centre;POSITION
end;POSITION
relationship;RELATION
correlation;RELATION
variable;RELATION
association;RELATION
relation;RELATION
connection;RELATION
correlationship;RELATION
degree;RELATION
divergence;RELATION
level;RELATION
link;RELATION
manner;RELATION
measure;RELATION
proportion;RELATION
sign;RELATION
group;SPACE
location;SPACE
range;SPACE
value;SPACE
amount;SPACE
scattering;SPACE
spread;SPACE
anomaly;SPACE
cluster;SPACE
outlier;SPACE
area;SPACE
grouping;SPACE
part;SPACE
way;SPACE
b;SPACE
concentration;SPACE
distribution;SPACE
extreme;SPACE
measurement;SPACE
response;SPACE
side;SPACE
time;SPACE
arrangement;SPACE
band;SPACE
gap;SPACE
margin;SPACE
meeting;SPACE
packing;SPACE
scale;SPACE
section;SPACE
set;SPACE
straggler;SPACE
